# syllable id,counts
0.000000000000000000e+00,2.349900000000000000e+04
1.000000000000000000e+00,1.073500000000000000e+04
2.000000000000000000e+00,9.243000000000000000e+03
3.000000000000000000e+00,1.094100000000000000e+04
4.000000000000000000e+00,5.302000000000000000e+03
5.000000000000000000e+00,4.439000000000000000e+03
6.000000000000000000e+00,3.294000000000000000e+03
7.000000000000000000e+00,8.325000000000000000e+03
8.000000000000000000e+00,7.891000000000000000e+03
9.000000000000000000e+00,3.983000000000000000e+03
1.000000000000000000e+01,3.051000000000000000e+03
1.100000000000000000e+01,2.308000000000000000e+03
1.200000000000000000e+01,1.738000000000000000e+03
1.300000000000000000e+01,2.473000000000000000e+03
1.400000000000000000e+01,1.773000000000000000e+03
1.500000000000000000e+01,1.271000000000000000e+03
1.600000000000000000e+01,8.260000000000000000e+02
1.700000000000000000e+01,1.223000000000000000e+03
1.800000000000000000e+01,1.039000000000000000e+03
1.900000000000000000e+01,9.930000000000000000e+02
2.000000000000000000e+01,1.081000000000000000e+03
2.100000000000000000e+01,6.040000000000000000e+02
