MoSeq_bin_0,MoSeq_bin_1,MoSeq_bin_2,MoSeq_bin_3,MoSeq_bin_4,MoSeq_bin_5,MoSeq_bin_6,MoSeq_bin_7,MoSeq_bin_8,MoSeq_bin_9,MoSeq_bin_10,MoSeq_bin_11,MoSeq_bin_12,MoSeq_bin_13,MoSeq_bin_14,MoSeq_bin_15,MoSeq_bin_16,MoSeq_bin_17,MoSeq_bin_18,MoSeq_bin_19,MoSeq_bin_20,MoSeq_bin_21,Label
0.03310551,0.063007262,0.04015378,0.02114481,0.108714225,0.13178129,0.129645451,0.005553182,0.007902606,0.030328919,0.030756087,0.058949167,0.077744554,0.059376335,0.03417343,0.039940196,0.041435284,0.009397693,0.015591628,0.020717642,0.008970525,0.016659547,0
0.051582141,0.103164283,0.072821847,0.038361508,0.119202427,0.164716081,0.133073255,0.023407022,0.006718682,0.012570438,0.022106632,0.030992631,0.041612484,0.024707412,0.030559168,0.019072388,0.023623754,0.019939315,0.011703511,0.009536194,0.013220633,0.015171218,0
0.059821623,0.046987166,0.12682184,0.011311725,0.152708288,0.091363933,0.135523167,0.022840983,0.007396128,0.035022841,0.052207962,0.040678704,0.042854035,0.026103981,0.026103981,0.038503372,0.029584512,0.000217533,0.022840983,0.015444855,0.002610398,0.005655863,0
0.025774991,0.026471613,0.077673285,0.005572971,0.093695576,0.034831069,0.076976663,0.026471613,0.006617903,0.046325322,0.072448624,0.108324626,0.103796587,0.043538837,0.027864855,0.093347266,0.018808777,0.008359457,0.026819923,0.02020202,0.008011146,0.022640195,0
0.066552168,0.074495492,0.098540146,0.076212967,0.068269644,0.169386003,0.127951911,0.049806784,0.010304852,0.011807643,0.016745384,0.029411765,0.047230571,0.03649635,0.013954487,0.014383856,0.024474023,0.004079004,0.009660799,0.009875483,0.008158008,0.01846286,1
0.040876913,0.054578671,0.102991551,0.015071934,0.131308518,0.144096826,0.173555606,0.029002055,0.009591231,0.016898835,0.035624572,0.029230418,0.057775748,0.029915506,0.011418132,0.035852934,0.018725736,0.004567253,0.015300297,0.008906143,0.007079242,0.013930121,1
0.052917903,0.045829212,0.087207385,0.054896142,0.091163864,0.127101879,0.072535443,0.064952193,0.007583251,0.054731289,0.026706231,0.046818332,0.039564787,0.046818332,0.023903726,0.00906693,0.014671942,0.043026706,0.015331355,0.012199143,0.029014177,0.014342235,1
0.02860286,0.048624862,0.035423542,0.02090209,0.089768977,0.116611661,0.117711771,0.009680968,0.005280528,0.029042904,0.033883388,0.085588559,0.102750275,0.080748075,0.046644664,0.031243124,0.046424642,0.005060506,0.012321232,0.023542354,0.00330033,0.014521452,1
0.01985933,0.026479106,0.053578817,0.002275548,0.157219694,0.052337609,0.109433182,0.002896152,0.00310302,0.023582954,0.064335954,0.056268101,0.064956558,0.052130741,0.046545304,0.054613157,0.049648324,0.024617294,0.034960695,0.031030203,0.016756309,0.029375259,1
0.021032505,0.039674952,0.062619503,0.004063098,0.15081262,0.090105163,0.143642447,0.008126195,0.002868069,0.020554493,0.04541109,0.053537285,0.065726577,0.03585086,0.035133843,0.060229446,0.038240918,0.021749522,0.022705545,0.014101338,0.017447419,0.025095602,1
0.03342904,0.064602133,0.048195242,0.012920427,0.124077112,0.126743232,0.129819524,0.011279737,0.007588187,0.038556194,0.044708778,0.067883511,0.067678425,0.044093519,0.023789992,0.020508614,0.027686628,0.022354389,0.024610336,0.01538146,0.014971288,0.016817063,1
0.131402183,0.105583543,0.087111671,0.10495382,0.088790932,0.123845508,0.087321579,0.054995802,0.02665827,0.027497901,0.038413098,0.014903442,0.024979009,0.01511335,0.008186398,0.02308984,0.009235936,0.005247691,0.006717045,0.003358522,0.002938707,0.004827876,1
