velocity_bin,MoSeq_bin_0,MoSeq_bin_1,MoSeq_bin_2,MoSeq_bin_3,MoSeq_bin_4,MoSeq_bin_5,MoSeq_bin_6,MoSeq_bin_7,MoSeq_bin_8,MoSeq_bin_9,MoSeq_bin_10,MoSeq_bin_11,MoSeq_bin_12,MoSeq_bin_13,MoSeq_bin_14,MoSeq_bin_15,MoSeq_bin_16,MoSeq_bin_17,MoSeq_bin_18,MoSeq_bin_19,MoSeq_bin_20,MoSeq_bin_21,Label
1.916040611,0.03310551,0.063007262,0.04015378,0.02114481,0.108714225,0.13178129,0.129645451,0.005553182,0.007902606,0.030328919,0.030756087,0.058949167,0.077744554,0.059376335,0.03417343,0.039940196,0.041435284,0.009397693,0.015591628,0.020717642,0.008970525,0.016659547,0
1.289013667,0.051582141,0.103164283,0.072821847,0.038361508,0.119202427,0.164716081,0.133073255,0.023407022,0.006718682,0.012570438,0.022106632,0.030992631,0.041612484,0.024707412,0.030559168,0.019072388,0.023623754,0.019939315,0.011703511,0.009536194,0.013220633,0.015171218,0.00E+00
1.771478811,0.059821623,0.046987166,0.12682184,0.011311725,0.152708288,0.091363933,0.135523167,0.022840983,0.007396128,0.035022841,0.052207962,0.040678704,0.042854035,0.026103981,0.026103981,0.038503372,0.029584512,0.000217533,0.022840983,0.015444855,0.002610398,0.005655863,0.00E+00
2.039043112,0.025774991,0.026471613,0.077673285,0.005572971,0.093695576,0.034831069,0.076976663,0.026471613,0.006617903,0.046325322,0.072448624,0.108324626,0.103796587,0.043538837,0.027864855,0.093347266,0.018808777,0.008359457,0.026819923,0.02020202,0.008011146,0.022640195,0
0.72530395,0.247025121,0.178713089,0.055090348,0.08065227,0.037241075,0.049581313,0.04275011,0.018289996,0.074041428,0.00154253,0.027104451,0.031070956,0.01586602,0.037020714,0.016967827,0.018289996,0.008594094,0.003746144,0.010797708,0.003085059,0.010797708,0.015425297,1.00E+00
1.173000921,0.222434672,0.105374973,0.154663267,0.067771404,0.061822817,0.029742936,0.031017633,0.075632037,0.079456129,0.033567028,0.01869556,0.014234119,0.019970257,0.022094752,0.007223284,0.006798385,0.006161037,0.005098789,0.002974294,0.009772679,0.006161037,0.003399193,1.00E+00
1.743543387,0.156138707,0.053420806,0.123898782,0.061480787,0.062417994,0.021180881,0.016119963,0.122961575,0.042174321,0.059606373,0.032614808,0.029240862,0.017806935,0.034114339,0.029240862,0.005998126,0.00656045,0.037675726,0.012371134,0.022680412,0.020618557,0.005810684,1.00E+00
0.941442571,0.335816263,0.025450031,0.0716946,0.030105525,0.009931719,0.002793296,0.004345127,0.18777157,0.17877095,0.067349472,0.042520174,0.012725016,0.00248293,0.008069522,0.00248293,0.001862197,0.001551831,0,0.00496586,0.006517691,0.000620732,0.000620732,1.00E+00
1.451010075,0.265872277,0.182275182,0.034071867,0.103518898,0.061627257,0.037050829,0.016942841,0.024390244,0.084528021,0.059579222,0.023831689,0.018059952,0.010984919,0.017129026,0.008005958,0.004468442,0.002420406,0,0.005771737,0.005585552,0.015267176,0.006144107,1.00E+00
1.076751118,0.250051878,0.108736252,0.065366259,0.121601992,0.037974684,0.030296742,0.015563395,0.076571903,0.085287404,0.047105209,0.02905167,0.020958705,0.010998132,0.020751193,0.015355883,0.001245072,0.002905167,0.013488276,0.006225358,0.004772774,0.018883586,0.004565263,1.00E+00
0.568297281,0.174892946,0.102546766,0.092855533,0.029749831,0.137931034,0.069190895,0.078205995,0.019833221,0.047103899,0.01532567,0.051160694,0.027270678,0.027721433,0.019382466,0.012395763,0.027721433,0.013748028,0.002253775,0.017579446,0.0090151,0.003155285,0.007888213,1.00E+00
3.446755561,0.159975545,0.120440187,0.072345629,0.060525779,0.068473609,0.049724883,0.046668025,0.024862441,0.060118198,0.039535358,0.041573263,0.028938251,0.027104137,0.045649073,0.022824536,0.036886081,0.010393316,0.001834115,0.022009374,0.011616059,0.013653964,0.009985735,1.00E+00
